Ticker,RSI,volume,Beta,DividendYield,PER,Volatility
AAPL,60.8910360413643,68889000.0,1.264,0.5499999999999999,28.970451,0.0125700447475783
MSFT,61.32131823546408,6343245.161290322,0.893,0.72000003,35.88205,0.01582433442062
AMZN,61.22854347900023,5172203.225806451,1.155,0.0,52.407307,0.0208048542923251
GOOGL,53.16039732405885,3051075.806451613,1.019,0.47,25.901989,0.0191490523747819
GOOG,53.08636365832885,3502120.9677419355,1.019,0.47,26.211655,0.0192832699417391
BRK-B,54.375483583383605,62635000.0,0.894,0.0,12.126806,0.0086096980965881
JNJ,51.16644343753735,2514345.1612903224,0.547,3.3099998,22.46954,0.0104266412203533
JPM,70.10080419186272,2071358.064516129,1.116,2.31,11.986128,0.0130881722974123
V,66.37744286324549,68340982.25806452,0.953,0.74,31.286674,0.0098164052851085
PG,52.26435963688983,3683137.0967741935,0.423,2.41,27.102942,0.0094038599346003
T,62.90524683240555,6315074.193548387,0.7,6.460000000000001,9.27957,0.0170270327925605
MA,62.15856645161809,56242940.32258064,1.075,0.58,36.416866,0.0108389719354526
DIS,54.9737772384111,1108790.322580645,1.395,0.8500000000000001,115.03261,0.0166507205123861
XOM,41.44790299166188,331814.51612903224,0.947,3.22,14.449756,0.0156769467814102
BAC,67.08082582134689,729801.6129032258,1.375,2.5,13.175861,0.0169426555777586
VZ,66.37334396123013,8184196.774193549,0.405,6.5799996,15.18352,0.0144677190782642
INTC,62.88121778076408,3900017.741935484,1.09,1.68,31.453608,0.0242589889074528
WMT,50.29742685998823,20387998.387096774,0.494,1.37,31.628273,0.0098435512584296
MRK,54.00343110361473,3353988.709677419,0.402,2.3699999,143.65555,0.0118796821111673
CSCO,47.02693547440776,1161570.9677419355,0.857,3.3299997,14.796352,0.0128435035912395
HD,67.23975064387905,1788900.0,1.011,2.5999999,22.580132,0.013557202406481
KO,66.75466593536959,4484374.193548387,0.575,3.0700000000000003,25.534138,0.0084744168612727
CVX,46.52307508809116,19623061.29032258,1.107,3.9300002,15.122242,0.0144837023805007
PEP,57.77986517952351,1940153.225806452,0.525,3.01,27.285067,0.0094688650137804
CMCSA,52.09607286516373,1959104.838709677,0.99,3.15,10.530504,0.0151103676244973
ORCL,51.740834173970654,18426298.387096774,1.024,1.37,30.704487,0.0190059818339917
ABBV,56.75924489468898,9260633.870967742,0.593,3.8599998,48.0,0.0123565064721842
PM,55.02417466244452,8916166.129032258,0.618,5.2199997,19.392578,0.0103861090736249
LLY,48.57904997735543,4978288.70967742,0.371,0.6799999999999999,112.0858,0.0182004396810539
ABT,66.49751226198214,1521272.5806451612,0.751,2.1,32.638626,0.0125139657367883
UNH,52.48795011250174,2933465.9032258065,0.561,1.47,31.27995,0.0132960504544405
ACN,66.15888019631461,10942722.58064516,1.207,1.68,27.870354,0.0137553102570757
NFLX,68.10629092422597,6648527.419354838,1.232,0.0,42.759365,0.0236769500148552
MCD,72.98032533999154,10201053.741935484,0.709,2.4300002000000003,23.051826,0.0087982039708565
MDT,60.69267343102567,6249900.0,0.795,3.3299997,26.514284,0.0134950500059442
NKE,66.69226054868686,15510861.29032258,1.076,1.63,27.270588,0.017055992027736
IBM,71.39898088172278,32355737.096774194,0.745,4.0,18.976217,0.0099556632060682
TMO,57.363187480261765,40087288.70967742,0.799,0.26,37.865383,0.0143211320904979
AMGN,54.33207697333416,3189566.129032258,0.599,2.9000001,44.001427,0.0130813850475156
TXN,56.56262788992115,5159583.870967742,1.001,2.78,29.255453,0.0151224188050558
HON,66.16436645469702,47011935.48387097,1.017,2.1300001,23.642693,0.0115564070683696
SBUX,50.28084816756047,1623148.3870967743,0.966,3.0,20.986225,0.0142638033288646
NEE,61.58479052680359,1715659.677419355,0.494,2.79,20.377048,0.0178588782743296
LIN,61.93658068638723,13516167.741935484,0.949,1.28,33.703876,0.0124440449887212
LOW,58.69396721475476,13904548.387096774,1.144,1.87,17.636639,0.0148614637174484
C,67.14777339345297,2641541.935483871,1.483,3.34,18.483965,0.016060762895354
CHTR,42.10925720924216,3185611.290322581,0.973,0.0,8.891227,0.0199140715991624
GILD,56.43088101493702,1484433.8709677418,0.235,4.67,187.6111,0.0127680135075545
DHR,56.60196877977034,3097300.0,0.854,0.43,46.166973,0.0152892115097172
FIS,60.24149177371884,1297543.5483870967,0.986,2.3599999,105.20833,0.0216256483654198
AMD,64.84416052955766,2888346.7741935486,1.66,0.0,221.41176,0.029569177426645
QCOM,71.10643629900102,2743383.870967742,1.328,1.87,24.561335,0.0197796824197943
BLK,70.70869781435196,6076770.967741936,1.381,2.56,20.079523,0.0139509170957154
UNP,67.54668613949704,6338133.870967742,1.062,2.1,23.465137,0.0151547915030388
INTU,64.19134645881863,4308578.419354838,1.22,0.5700000000000001,63.998978,0.0184251193082074
UPS,56.16092952701375,8508946.774193548,1.049,4.42,21.794502,0.0146886391184586
COST,63.75112075914548,8818506.451612903,0.759,0.58999998,50.762936,0.0120467494051304
CVS,56.23653943461448,7986904.838709678,0.552,4.77,9.907018,0.0154306572751159
LMT,56.10566692949513,32730711.29032258,0.455,2.69,17.211412,0.0113824001220774
GS,65.65017064335028,15379979.032258064,1.393,2.42,17.682652,0.0151979090380864
TGT,66.15457890765853,9252729.032258064,1.166,2.7,17.997763,0.0195782138929131
ISRG,62.97409108856186,7860433.870967742,1.391,0.0,68.87522,0.0182020683784482
NOW,69.82272057268726,6341219.354838709,0.976,0.0,78.1713,0.0198684156763226
AMT,69.70802248945029,1635466.1290322582,0.705,3.5099998,41.760723,0.0168800476832976
DE,50.12068632680264,1633053.2258064516,1.051,1.4400001,11.8947525,0.017125168508094
MS,60.8823588724335,7227804.838709678,1.398,3.46,17.92,0.0163279643832892
CAT,59.26872390809237,4773933.870967742,1.178,1.47,16.110209,0.0180577107560539
BKNG,65.50657716773308,23077829.032258064,1.4,0.92,28.196053,0.015718623128886
ADBE,58.39358533601028,6886267.741935484,1.281,0.0,46.142307,0.0200605143280349
SPGI,69.75063690009657,3046324.193548387,1.138,0.84,47.92945,0.0138715343348189
SCHW,66.62155880194751,4708054.838709678,0.982,1.3099999,31.255228,0.0265539492679653
GE,62.78493913993741,3363525.806451613,1.245,0.69,41.863518,0.0153080910649934
CI,49.84411910828977,7756961.29032258,0.577,1.61,28.641512,0.0193348545887619
SYK,60.74893449626699,4803238.70967742,0.919,0.97,37.05023,0.0147681635046542
MO,53.64777091211269,6187674.193548387,0.682,8.7299995,9.422594,0.0108145335269355
MDLZ,66.02270008591334,21938824.19354839,0.554,2.39,22.853502,0.0111240960751029
AXP,69.04287834323908,4414858.064516129,1.203,1.16,19.658154,0.0164345975473944
USB,67.24602091506873,1425448.3870967743,1.062,4.68,13.784054,0.0253672950119819
TJX,54.03114978268889,1343527.4193548388,0.878,1.52,25.582903,0.0100902952905272
D,59.6404670576752,32273319.35483871,0.585,5.0300002,22.96104,0.015000801780358
ZTS,59.64087285550582,5360390.322580645,0.857,1.0199999,32.3526,0.0157659146866101
RTX,62.07271843805837,1424927.4193548388,0.58,2.3699999,41.653545,0.0150310439172895
PNC,66.80361442016442,5350320.967741936,1.153,3.9300002,13.270362,0.019784441532514
NSC,65.17710578025,3605345.1612903215,1.303,2.34,37.135048,0.0142067353682103
GM,57.83043862664599,3117946.7741935486,1.495,1.06,5.5152626,0.0214515430570905
CB,56.55861692866715,12965006.451612905,0.633,1.35,11.312888,0.012832761141281
CME,51.810188691693874,6287800.0,0.488,4.1500002,23.908884,0.0113249315857651
CL,64.1482404511105,20443727.41935484,0.394,2.1,29.9873,0.0103546112289943
PLD,63.59517905325629,19633170.967741936,1.058,3.5700000000000003,31.48538,0.0166718013267882
LRCX,62.69729288942104,16993924.19354839,1.511,0.8699999999999999,33.23979,0.0225206852076811
SO,59.866619038852726,2172282.2580645164,0.476,3.69,20.388601,0.011884982927193
